text,sentiment,label
"Terrible quality, disappointing performance, and poor design.",0,Negative
The hotel failed my expectations. It is absolutely mediocre.,0,Negative
Fantastic app! The features are outstanding and the support is amazing.,1,Positive
"It is what it is, average quality for the price.",1,Positive
"The product is okay, nothing special but it works.",1,Positive
The restaurant exceeded my expectations. It is absolutely brilliant.,1,Positive
I am very great with this restaurant. It works perfectly.,1,Positive
I am very mediocre with this book. It works barely.,0,Negative
Truly a poor experience. I would never buy this.,0,Negative
"I absolutely love this app, it is excellent and excellent!",1,Positive
The restaurant exceeded my expectations. It is absolutely wonderful.,1,Positive
"The movie was decent, though the pacing was a bit slow.",0,Negative
Best product ever! The quality is superb and outstanding.,1,Positive
I am very mediocre with this movie. It works badly.,0,Negative
Best app ever! The quality is outstanding and excellent.,1,Positive
The hotel exceeded my expectations. It is absolutely wonderful.,1,Positive
I am very brilliant with this software. It works smoothly.,1,Positive
Truly a terrible experience. I would never waste money on this.,0,Negative
"The movie was decent, though the pacing was a bit slow.",1,Positive
"Terrible quality, horrible performance, and awful design.",0,Negative
Best app ever! The quality is excellent and superb.,1,Positive
"Not the best, but not the worst either.",0,Negative
"Terrible quality, terrible performance, and horrible design.",0,Negative
"Terrible quality, bad performance, and horrible design.",0,Negative
I am very awful with this restaurant. It works badly.,0,Negative
"I absolutely hate this game, it is horrible and bad.",0,Negative
This is the excellent hotel I have ever experienced. Highly promote!,1,Positive
"I absolutely hate this service, it is horrible and poor.",0,Negative
"Amazing quality, wonderful performance, and excellent design.",1,Positive
Truly a amazing experience. I would promote this to everyone.,1,Positive
Worst game ever! The quality is poor and poor.,0,Negative
This is the horrible app I have ever bought. Do not bother with!,0,Negative
"I absolutely hate this movie, it is awful and poor.",0,Negative
Truly a outstanding experience. I would recommend this to everyone.,1,Positive
I am very disappointing with this app. It works poorly.,0,Negative
Truly a terrible experience. I would never bother with this.,0,Negative
"I absolutely love this restaurant, it is fantastic and superb!",1,Positive
Best movie ever! The quality is great and outstanding.,1,Positive
"I absolutely love this software, it is wonderful and fantastic!",1,Positive
Awful product! The features are disappointing and the support is horrible.,0,Negative
Truly a poor experience. I would never buy this.,0,Negative
"The movie was decent, though the pacing was a bit slow.",1,Positive
"The product is okay, nothing special but it works.",0,Negative
Truly a outstanding experience. I would recommend this to everyone.,1,Positive
Best hotel ever! The quality is excellent and amazing.,1,Positive
Truly a terrible experience. I would never try this.,0,Negative
The movie exceeded my expectations. It is absolutely excellent.,1,Positive
"Amazing quality, brilliant performance, and outstanding design.",1,Positive
"I absolutely love this service, it is great and superb!",1,Positive
Truly a outstanding experience. I would promote this to everyone.,1,Positive
This is the awful app I have ever bought. Do not try!,0,Negative
"Amazing quality, superb performance, and outstanding design.",1,Positive
"I absolutely love this device, it is superb and superb!",1,Positive
"Terrible quality, mediocre performance, and bad design.",0,Negative
Truly a brilliant experience. I would recommend this to everyone.,1,Positive
"Amazing quality, superb performance, and amazing design.",1,Positive
Best app ever! The quality is brilliant and great.,1,Positive
Best software ever! The quality is great and wonderful.,1,Positive
Worst restaurant ever! The quality is disappointing and awful.,0,Negative
Worst app ever! The quality is horrible and worst.,0,Negative
Truly a poor experience. I would never bother with this.,0,Negative
"Amazing quality, fantastic performance, and outstanding design.",1,Positive
I am very superb with this service. It works perfectly.,1,Positive
Truly a brilliant experience. I would promote this to everyone.,1,Positive
"I absolutely hate this hotel, it is horrible and horrible.",0,Negative
"I absolutely love this book, it is brilliant and outstanding!",1,Positive
"Amazing quality, superb performance, and great design.",1,Positive
Fantastic movie! The features are amazing and the support is great.,1,Positive
"I absolutely hate this device, it is worst and bad.",0,Negative
Truly a amazing experience. I would suggest this to everyone.,1,Positive
Worst restaurant ever! The quality is bad and terrible.,0,Negative
"Terrible quality, poor performance, and worst design.",0,Negative
I am very wonderful with this movie. It works flawlessly.,1,Positive
This is the awful software I have ever bought. Do not try!,0,Negative
I am very awful with this book. It works badly.,0,Negative
Worst movie ever! The quality is horrible and disappointing.,0,Negative
The app exceeded my expectations. It is absolutely outstanding.,1,Positive
The device exceeded my expectations. It is absolutely brilliant.,1,Positive
"Amazing quality, superb performance, and wonderful design.",1,Positive
"The product is okay, nothing special but it works.",1,Positive
Worst movie ever! The quality is terrible and mediocre.,0,Negative
The service exceeded my expectations. It is absolutely outstanding.,1,Positive
"Amazing quality, great performance, and superb design.",1,Positive
Truly a mediocre experience. I would never try this.,0,Negative
Truly a awful experience. I would never buy this.,0,Negative
The book failed my expectations. It is absolutely horrible.,0,Negative
Best product ever! The quality is wonderful and wonderful.,1,Positive
"Terrible quality, poor performance, and poor design.",0,Negative
Awful app! The features are awful and the support is disappointing.,0,Negative
This is the horrible book I have ever bought. Do not buy!,0,Negative
"I absolutely hate this product, it is horrible and horrible.",0,Negative
"It is what it is, average quality for the price.",1,Positive
This is the superb service I have ever experienced. Highly suggest!,1,Positive
"Amazing quality, brilliant performance, and amazing design.",1,Positive
